frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
145,0,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,1,1,1950,0.209,0.002,0.105,0.102,0.105,0.102,0.052,0.053,0.066,0.036,0.008,0.001,0.004,0.015,0.04,0.037,0.001,0.002,0.013,0.02,0.052,0.014
155,2,1,1,1950,-0.246,0.002,0.008,-0.047,0.008,-0.047,0.014,0.099,0.067,-0.012,0.013,0.008,0.016,0.064,0.037,0.08,0.026,0.017,0.043,0.004,0.064,0.003
160,3,1,1,1950,-0.303,0.007,-0.22,-0.127,-0.22,-0.127,-0.023,-0.084,-0.059,-0.013,0.005,0.005,0.031,0.025,0.007,0.038,0.001,0.001,0.03,0.009,0.043,0.001
165,4,1,1,1950,0.586,0.026,0.198,0.022,0.198,0.022,0.093,-0.002,-0.05,0.0,0.027,0.011,0.021,0.005,0.088,0.05,0.002,0.002,0.013,0.005,0.009,0.004
170,5,1,1,1950,-0.39,0.013,-0.203,0.046,-0.203,0.046,-0.088,-0.024,-0.003,-0.001,0.015,0.013,0.016,0.011,0.017,0.018,0.006,0.003,0.007,0.001,0.008,0.006
175,6,1,1,1950,0.446,0.023,0.232,0.047,0.232,0.047,0.039,0.081,0.022,0.021,0.037,0.02,0.033,0.046,0.017,0.057,0.018,0.003,0.003,0.009,0.022,0.019
180,7,1,1,1950,-0.422,0.046,-0.164,-0.002,-0.164,-0.002,0.038,-0.082,-0.019,0.06,0.051,0.008,0.037,0.015,0.037,0.018,0.013,0.016,0.003,0.017,0.008,0.058
185,8,1,1,1950,0.274,0.028,0.045,0.081,0.045,0.081,-0.065,0.066,0.053,0.069,0.026,0.042,0.018,0.033,0.016,0.032,0.007,0.002,0.015,0.056,0.055,0.102
190,9,1,1,1950,-0.077,0.021,0.055,0.001,0.055,0.001,-0.025,0.081,0.131,-0.008,0.015,0.006,0.009,0.012,0.011,0.17,0.038,0.012,0.06,0.056,0.11,0.084
195,10,1,1,1950,-0.171,0.021,-0.034,-0.081,-0.034,-0.081,0.0,0.022,-0.106,0.148,0.024,0.031,0.004,0.023,0.007,0.156,0.048,0.052,0.022,0.088,0.032,0.16
200,11,1,1,1950,-0.362,0.018,-0.187,-0.287,-0.187,-0.287,-0.011,-0.154,-0.022,-0.223,0.013,0.026,0.001,0.018,0.01,0.012,0.017,0.031,0.025,0.024,0.038,0.022
205,12,1,1,1950,0.945,0.017,0.174,0.298,0.174,0.298,0.004,0.005,0.054,-0.001,0.015,0.021,0.005,0.021,0.008,0.019,0.018,0.029,0.061,0.027,0.055,0.02
210,13,1,1,1950,-0.513,0.033,0.029,-0.086,0.029,-0.086,0.015,0.023,-0.025,-0.008,0.006,0.022,0.024,0.033,0.013,0.029,0.02,0.026,0.044,0.013,0.045,0.029
215,14,1,1,1950,-0.147,0.005,-0.107,-0.069,-0.107,-0.069,-0.026,-0.043,-0.068,-0.034,0.005,0.003,0.004,0.009,0.008,0.029,0.008,0.01,0.021,0.015,0.012,0.009
220,15,1,1,1950,0.756,0.017,0.123,0.445,0.123,0.445,0.041,0.013,0.28,0.063,0.029,0.02,0.027,0.019,0.002,0.015,0.009,0.036,0.147,0.025,0.165,0.036
225,16,1,1,1950,-1.059,0.025,-0.123,-0.376,-0.123,-0.376,-0.029,-0.04,0.028,-0.061,0.017,0.002,0.004,0.008,0.008,0.004,0.023,0.008,0.149,0.015,0.177,0.013
230,17,1,1,1950,0.31,0.005,0.09,-0.259,0.09,-0.259,-0.012,0.033,-0.272,-0.02,0.01,0.007,0.005,0.004,0.002,0.036,0.008,0.004,0.016,0.006,0.053,0.006
235,18,1,1,1950,0.512,0.006,-0.041,0.383,-0.041,0.383,0.003,-0.023,0.084,0.007,0.008,0.002,0.009,0.011,0.003,0.011,0.006,0.002,0.08,0.016,0.075,0.005
240,19,1,1,1950,-0.479,0.007,0.043,-0.181,0.043,-0.181,0.012,0.011,-0.099,0.009,0.007,0.008,0.014,0.02,0.011,0.007,0.011,0.016,0.031,0.013,0.02,0.003
245,20,1,1,1950,0.434,0.014,-0.02,0.309,-0.02,0.309,-0.005,0.008,0.076,0.143,0.005,0.022,0.016,0.015,0.006,0.006,0.04,0.046,0.036,0.06,0.062,0.069
250,21,1,1,1950,-0.341,0.023,0.369,-0.43,0.369,-0.43,0.21,0.162,-0.097,-0.114,0.011,0.009,0.055,0.066,0.171,0.13,0.02,0.028,0.01,0.009,0.011,0.024
255,22,1,1,1950,-0.304,0.008,-0.548,0.198,-0.548,0.198,-0.118,-0.058,-0.01,-0.003,0.025,0.013,0.027,0.066,0.067,0.068,0.015,0.02,0.009,0.004,0.007,0.034
260,23,1,1,1950,0.601,0.02,0.188,0.051,0.188,0.051,0.024,-0.012,0.055,-0.017,0.023,0.029,0.032,0.038,0.088,0.068,0.025,0.023,0.035,0.01,0.026,0.008
265,24,1,1,1950,-0.128,0.043,0.049,0.039,0.049,0.039,0.015,0.046,0.013,0.064,0.032,0.017,0.042,0.045,0.084,0.119,0.014,0.014,0.029,0.044,0.056,0.047
270,25,1,1,1950,-0.565,0.01,-0.221,-0.223,-0.221,-0.223,-0.069,-0.091,-0.069,-0.077,0.013,0.011,0.012,0.026,0.064,0.053,0.009,0.005,0.013,0.015,0.008,0.008
275,26,1,1,1950,0.709,0.029,0.118,0.128,0.118,0.128,-0.024,-0.018,-0.006,-0.012,0.013,0.013,0.017,0.016,0.035,0.043,0.007,0.004,0.012,0.009,0.005,0.003
280,27,1,1,1950,-0.171,0.017,0.081,0.006,0.081,0.006,0.017,0.022,-0.009,-0.003,0.007,0.007,0.018,0.028,0.057,0.059,0.008,0.007,0.002,0.001,0.005,0.005
