frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
145,0,1,1,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,1,1,1950,0.218,0.004,0.105,0.109,0.105,0.109,0.051,0.054,0.072,0.037,0.008,0.001,0.004,0.013,0.039,0.04,0.001,0.002,0.016,0.02,0.055,0.015
155,2,1,1,1950,-0.278,0.001,0.014,-0.075,0.014,-0.075,0.016,0.103,0.047,-0.013,0.014,0.007,0.014,0.061,0.039,0.089,0.027,0.017,0.044,0.004,0.048,0.003
160,3,1,1,1950,-0.236,0.007,-0.196,-0.107,-0.196,-0.107,0.006,-0.083,-0.061,-0.012,0.006,0.005,0.033,0.024,0.034,0.045,0.003,0.001,0.029,0.009,0.026,0.002
165,4,1,1,1950,0.472,0.028,0.115,0.033,0.115,0.033,0.043,-0.005,-0.038,-0.002,0.027,0.011,0.023,0.001,0.066,0.057,0.001,0.002,0.009,0.004,0.01,0.004
170,5,1,1,1950,-0.27,0.014,-0.14,0.032,-0.14,0.032,-0.072,-0.03,-0.005,-0.003,0.013,0.013,0.013,0.011,0.018,0.015,0.003,0.002,0.004,0.001,0.008,0.004
175,6,1,1,1950,0.407,0.023,0.231,0.059,0.231,0.059,0.044,0.085,0.029,0.022,0.037,0.02,0.032,0.048,0.019,0.056,0.014,0.003,0.007,0.009,0.023,0.017
180,7,1,1,1950,-0.431,0.049,-0.174,0.007,-0.174,0.007,0.037,-0.082,0.011,0.047,0.052,0.006,0.036,0.018,0.037,0.018,0.015,0.014,0.028,0.016,0.012,0.046
185,8,1,1,1950,0.251,0.027,0.046,0.06,0.046,0.06,-0.062,0.063,0.046,0.072,0.025,0.042,0.022,0.03,0.016,0.033,0.002,0.002,0.032,0.058,0.067,0.088
190,9,1,1,1950,-0.014,0.02,0.094,0.005,0.094,0.005,-0.028,0.123,0.113,0.01,0.017,0.006,0.008,0.032,0.01,0.19,0.042,0.014,0.065,0.057,0.107,0.087
195,10,1,1,1950,-0.27,0.021,-0.062,-0.11,-0.062,-0.11,-0.001,0.034,-0.118,0.131,0.023,0.033,0.004,0.031,0.007,0.198,0.048,0.05,0.014,0.082,0.034,0.157
200,11,1,1,1950,-0.293,0.02,-0.243,-0.221,-0.243,-0.221,-0.012,-0.198,-0.007,-0.201,0.016,0.021,0.001,0.024,0.005,0.019,0.017,0.028,0.032,0.03,0.04,0.03
205,12,1,1,1950,0.886,0.016,0.205,0.221,0.205,0.221,0.005,-0.01,0.033,-0.02,0.014,0.022,0.005,0.017,0.008,0.015,0.018,0.028,0.052,0.026,0.052,0.014
210,13,1,1,1950,-0.374,0.032,0.051,-0.015,0.051,-0.015,0.015,0.031,-0.022,0.02,0.005,0.02,0.023,0.035,0.014,0.03,0.019,0.024,0.045,0.016,0.036,0.048
215,14,1,1,1950,-0.283,0.005,-0.118,-0.102,-0.118,-0.102,-0.026,-0.046,-0.053,-0.051,0.005,0.002,0.003,0.009,0.008,0.028,0.009,0.009,0.024,0.017,0.014,0.011
220,15,1,1,1950,0.767,0.017,0.127,0.408,0.127,0.408,0.043,0.012,0.217,0.087,0.03,0.018,0.026,0.016,0.003,0.017,0.012,0.038,0.116,0.031,0.136,0.055
