frame_timestamp_global,frame_timestamp_local,i_entity,label,state_left_arm_up,state_left_arm_down,state_left_leg_up,state_left_leg_down,state_right_arm_up,state_right_arm_down,state_right_leg_up,state_right_leg_down,state_jump,state_duck
145,0,1,1950,1,1,0,0,0,0,0,0,0,1
150,1,1,1950,1,1,0,0,0,0,0,0,0,1
155,2,1,1950,1,1,1,1,0,0,0,0,0,1
160,3,1,1950,0,0,1,1,0,0,0,0,0,1
165,4,1,1950,0,0,1,1,0,0,0,0,0,1
170,5,1,1950,0,0,1,1,0,0,0,0,0,1
175,6,1,1950,0,0,1,1,0,0,0,0,0,1
180,7,1,1950,0,0,0,0,0,0,0,0,0,1
185,8,1,1950,0,0,1,1,0,0,0,0,0,1
190,9,1,1950,0,0,1,1,1,1,0,0,0,1
195,10,1,1950,0,0,0,0,0,0,0,0,0,1
200,11,1,1950,0,0,0,0,0,0,0,0,0,1
205,12,1,1950,0,0,0,0,0,0,0,0,0,1
210,13,1,1950,0,0,0,0,0,0,0,0,0,1
215,14,1,1950,0,0,0,0,0,0,0,0,0,1
220,15,1,1950,0,0,0,0,0,0,0,0,0,1
225,16,1,1950,0,0,0,0,0,0,0,0,0,1
230,17,1,1950,0,0,0,0,0,0,0,0,0,1
235,18,1,1950,0,0,0,0,0,0,0,0,0,1
240,19,1,1950,0,0,0,0,0,0,0,0,0,1
245,20,1,1950,0,0,0,0,0,0,0,0,0,1
250,21,1,1950,0,0,0,0,0,0,0,0,0,1
255,22,1,1950,0,0,0,0,0,0,0,0,0,1
260,23,1,1950,0,0,0,0,0,0,0,0,0,1
265,24,1,1950,1,1,0,0,1,1,0,0,1,1
270,25,1,1950,1,1,0,0,1,1,0,0,0,1
275,26,1,1950,1,1,0,0,1,1,0,0,0,1
280,27,1,1950,1,1,0,0,1,1,0,0,0,1
285,28,1,1950,1,1,0,0,1,1,0,0,0,1
290,29,1,1950,1,1,0,0,0,0,0,0,0,1
295,30,1,1950,0,0,0,0,0,0,0,0,0,1
300,31,1,1950,0,0,0,0,1,1,0,0,0,1
305,32,1,1950,0,0,0,0,1,1,0,0,0,1
310,33,1,1950,1,1,0,0,1,1,0,0,0,1
315,34,1,1950,0,0,0,0,0,0,0,0,0,1
320,35,1,1950,0,0,0,0,0,0,0,0,0,1
325,36,1,1950,0,0,0,0,0,0,0,0,0,1
335,0,2,1950,0,0,0,0,0,0,0,0,0,1
340,1,2,1950,0,0,0,0,0,0,0,0,0,1
345,2,2,1950,0,0,0,0,0,0,1,1,0,1
350,3,2,1950,0,0,0,0,0,0,0,0,0,1
355,4,2,1950,0,0,0,0,0,0,0,0,0,1
360,5,2,1950,0,0,0,0,0,0,1,1,0,1
365,6,2,1950,0,0,0,0,0,0,0,0,0,1
370,7,2,1950,1,1,0,0,0,0,0,0,0,1
375,8,2,1950,1,1,0,0,0,0,0,0,0,1
380,9,2,1950,1,1,0,0,0,0,0,0,0,1
385,10,2,1950,1,1,0,0,0,0,0,0,0,1
390,11,2,1950,1,1,1,1,0,0,0,0,0,1
395,12,2,1950,1,1,1,1,0,0,0,0,0,1
400,13,2,1950,1,1,1,1,0,0,1,1,0,1
405,14,2,1950,1,1,1,1,0,0,1,1,0,1
410,15,2,1950,0,0,1,1,0,0,0,0,0,1
415,16,2,1950,1,1,1,1,0,0,0,0,0,1
420,17,2,1950,0,0,1,1,0,0,0,0,0,1
425,18,2,1950,0,0,0,0,0,0,0,0,0,1
430,19,2,1950,0,0,1,1,0,0,1,1,0,1
435,20,2,1950,0,0,1,1,0,0,0,0,0,1
440,21,2,1950,0,0,0,0,0,0,1,1,0,1
450,23,2,1950,1,1,0,0,1,1,0,0,0,1
455,24,2,1950,1,1,0,0,1,1,0,0,0,1
460,25,2,1950,1,1,0,0,1,1,0,0,0,1
465,26,2,1950,1,1,0,0,1,1,0,0,0,1
470,27,2,1950,1,1,0,0,1,1,0,0,0,1
475,28,2,1950,1,1,0,0,1,1,0,0,0,1
480,29,2,1950,1,1,0,0,1,1,0,0,0,1
485,30,2,1950,1,1,0,0,1,1,0,0,0,1
490,31,2,1950,0,0,0,0,1,1,0,0,0,1
495,32,2,1950,0,0,0,0,1,1,0,0,0,1
500,33,2,1950,0,0,0,0,1,1,0,0,0,1
505,34,2,1950,0,0,0,0,1,1,0,0,0,1
510,35,2,1950,0,0,0,0,1,1,0,0,0,1
515,36,2,1950,0,0,0,0,1,1,0,0,0,1
520,37,2,1950,0,0,0,0,1,1,0,0,0,1
525,38,2,1950,0,0,0,0,1,1,0,0,0,1
530,39,2,1950,0,0,0,0,1,1,0,0,0,1
535,40,2,1950,0,0,0,0,1,1,0,0,0,1
540,41,2,1950,0,0,0,0,1,1,0,0,0,1
545,42,2,1950,0,0,1,1,0,0,0,0,0,1
550,43,2,1950,0,0,0,0,0,0,0,0,0,1
555,44,2,1950,0,0,0,0,0,0,1,1,0,1
560,45,2,1950,0,0,1,1,0,0,0,0,0,1
565,46,2,1950,0,0,0,0,0,0,0,0,0,1
570,47,2,1950,0,0,0,0,0,0,0,0,0,1
575,48,2,1950,0,0,0,0,0,0,0,0,0,1
595,0,3,1950,0,0,0,0,0,0,0,0,0,1
600,1,3,1950,0,0,0,0,0,0,0,0,1,1
605,2,3,1950,0,0,0,0,0,0,0,0,0,1
610,3,3,1950,0,0,0,0,0,0,0,0,0,1
615,4,3,1950,0,0,0,0,0,0,0,0,0,1
620,5,3,1950,0,0,0,0,0,0,0,0,0,1
625,6,3,1950,1,1,0,0,1,1,0,0,0,1
630,7,3,1950,1,1,0,0,1,1,1,1,0,1
635,8,3,1950,1,1,0,0,1,1,1,1,0,1
640,9,3,1950,1,1,0,0,1,1,0,0,0,1
645,10,3,1950,1,1,0,0,1,1,0,0,0,1
